"id","english_definition","chinese_id.car","chinese_id.simplified_chinese","chinese_id.link","chinese_id.link_nuovo","rom_id.rom"
3378,"wall/rampart","壁","壁",,,"piė˘"
5651,"walls etc)","漆","漆",,,"çie˘'"
5652,"walls etc)","漆","漆",,,"çiė˘'"
4213,"want but cannot speak","悱","悲",,,"fi\"
3957,"warehouse/storehouse/(file) library","庫","库",,,"ku/'"
5504,"warm and virtuous/(used in given names)/Taiwan pr. [shú]","淑","淑",,,"xȯ˘"
5620,"warm/lukewarm/temperature/to warm up/mild/soft/tender/to review (a lesson etc)/fever (TCM)/old variant of 瘟[wēn] or surname Wen","溫","温",,,"v̈en¯"
4886,"warm/to warm","暖","暖",,,"nuon\"
5853,"warm up (food)","燖","燂",,,"çien^'"
5854,"warm up (food)","燖","燂",,,"çin^'"
6991,"warp (the vertical threads in weaving)/vertical/longitudinal/north-south (lines of longitude)/lengthwise/to release/to indulge/even if","縱","纵",,,"çung\'"
6992,"warp (the vertical threads in weaving)/vertical/longitudinal/north-south (lines of longitude)/lengthwise/to release/to indulge/even if","縱","纵",,,"çung/"
6993,"warp (the vertical threads in weaving)/vertical/longitudinal/north-south (lines of longitude)/lengthwise/to release/to indulge/even if","縱","纵",,,"çung\"
2721,"washbasin with a tubular handle","匜","匜",,,"¨y^"
5047,"watchman's rattle","柝","柝",,,"to˘'"
5105,"watchman's rattle","梆","梆",,,"pang¯"
7745,"(water-beetle)/money","蚨","蚨",,,"fuˆ"
7677,"water chestnut or see 薺菜|荠菜[jì cài]","薺","荠",,,"çi\"
5848,"water etc)/fever/to run a temperature/(coll.) to let things go to one's head","燒","烧",,,"xao¯"
5849,"water etc)/fever/to run a temperature/(coll.) to let things go to one's head","燒","烧",,,"xao/"
5736,"waterfall or shower (rain)","瀑","瀑",,,"pao/"
5737,"waterfall or shower (rain)","瀑","瀑",,,"pȯ˘"
5517,"wave/breaker/unrestrained/dissipated","浪","浪",,,"lang^"
5518,"wave/breaker/unrestrained/dissipated","浪","浪",,,"lang/"
8591,"way/path/direct/diameter","逕","徑",,,"king/"
8590,"way/route/road","途","途",,,"tu^'"
3663,"weak/feeble/lowly or see 孱頭|孱头[càn tou]","孱","孱",,,"çan^'"
3664,"weak/feeble/lowly or see 孱頭|孱头[càn tou]","孱","孱",,,"chan^'"
4027,"weak/feeble/young/inferior/(following a decimal or fraction) slightly less than","弱","弱",,,"jo˘"
2453,"weak/wearied/in distress","儜","儜",,,"neng^"
2118,"weaponry/to hold (a weapon)/to wield/to rely on/to depend on/war/battle","仗","仗",,,"chang\"
2119,"weaponry/to hold (a weapon)/to wield/to rely on/to depend on/war/battle","仗","仗",,,"chang/"
6184,"weary","疲","疲",,,"pi^'"
7572,"weeds","葍","葍",,,"piė˘"
8612,"week/weekly/variant of 周[zhōu]","週","周",,,"cheu¯"
2520,"weep","泫","泫",,,"hiuen\"
5467,"weep","泫","泫",,,"hiuen^"
4545,"weight etc)/to wag/to swing/to turn/to change/to exchange/to swap/to show off/to shed (hair)/(used after certain verbs to express completion","掉","掉",,,"tiao/'"
4546,"weight etc)/to wag/to swing/to turn/to change/to exchange/to swap/to show off/to shed (hair)/(used after certain verbs to express completion","掉","掉",,,"tiao\'"
3233,"weir","堰","堰",,,"ien\"
3313,"weir","堰","堰",,,"ien/"
2050,"well-behaved/clever/shrewd/alert/perverse/contrary to reason/irregular/abnormal","乖","乖",,,"quai¯"
1698,"well-being","禔","禔",,,"chi¯"
