"id","english_definition","chinese_id.car","chinese_id.simplified_chinese","chinese_id.link","chinese_id.link_nuovo","rom_id.rom"
5355,"0.1 yuan","毫","毫",,,"hao^"
2087,"10th solar month (7th November-6th December)","亥","亥",,,"hai\"
4944,"15th day of month (lunar calendar)/old variant of 望[wàng]","朢","望",,,"¨vang/"
6670,"15 years old/hairpin for bun","笄","笄",,,"ki¯"
3714,"1st solar month (4th February-5th March)","寅","寅",,,"y^"
3715,"1st solar month (4th February-5th March)","寅","寅",,,"in^"
4123,"20)","念","念",,,"nien/"
2765,"2nd solar month (6th March-4th April)","卯","卯",,,"mao\"
4867,"3-5 p.m.","晡","晡",,,"pu¯"
8549,"3rd solar month (5th April-4th May)","辰","辰",,,"xin^"
3866,"4th solar month (5th May-5th June)","巳","巳",,,"su̇/"
4672,"50 kg)/two buckets full/carrying pole and its load/classifier for loads carried on a shoulder pole or to undertake/to carry/to shoulder/to take responsibility","擔","担",,,"tan¯"
4949,"6th solar month (7th July-6th August)","未","未",,,"¨vy/"
2942,"8 in. length unit of Zhou dynasty","咫","咫",,,"chi\"
8722,"8th solar month (8th September-7th October)","酉","酉",,,"ieu\"
4395,"9th solar month (8th October-6th November) or see 屈戌兒|屈戌儿[qū qu er]","戌","戌",,,"siu̇˘"
9455,"abalone or surname Bao","鮑","鲍",,,"pao\"
8959,"abbr. for Afghanistan 阿富汗[Ā fù hàn] or flatter or kinship terms etc to indicate familiarity/used in transliteration/also pr. [a4]","阿","阿",,,"o¯"
6285,"abbr. for Anhui Province 安徽省[Ān huī Shěng]","皖","皖",,,"v̈on\"
2644,"abbr. for Canada 加拿大[Jiā ná dà]/surname Jia or 大","加","加",,,"kia¯"
7542,"abbr. for China or Mt Hua 華山|华山 in Shaanxi/surname Hua or old variant of 花[huā]/flower or magnificent/splendid/flowery","華","崋",,,"hoa^"
9603,"abbr. for Guizhou province 貴州|贵州[Guì zhōu]","黔","黔",,,"kien^'"
9602,"abbr. for Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] or black/dark/sinister/secret/shady/illegal/to hide (sth) away/to vilify/(loanword) to hack (computing)","黑","黑",,,"he˘"
8233,"abbr. for Henan province 河南 in central China or happy/carefree/at one's ease/variant of 預|预[yù]/old variant of 與|与[yù]","豫","豫",,,"iụ/"
8710,"abbr. for Hubei Province 湖北省[Hú běi Shěng] in central China/surname E","鄂","鄂",,,"ngo˘"
5599,"abbr. for Hunan 湖南 province in south central China/abbr. for Xiangjiang river in Hunan province","湘","湘",,,"siang¯"
2130,"abbr. for Israel 以色列[Yǐ sè liè] or to use/by means of/according to/in order to/because of/at (a certain date or place)","以","以",,,"y\"
8324,"abbr. for Jiangxi Province 江西省[Jiāng xī Shěng]/Gan River in Jiangxi Province 江西省[Jiāng xī Shěng]","贛","赣",,,"kan/"
8975,"abbr. for Shaanxi 陝西|陕西 province","陝","陕",,,"xen\"
3849,"abbr. for Sichuan Province 四川[Sì chuān] in southwest China or river/creek/plain/an area of level country","川","川",,,"chuen¯'"
4778,"abbr. for the Big Dipper constellation 北斗星[Běi dǒu xīng] or dry measure for grain equal to ten 升[shēng] or one-tenth of a 石[dàn]/decaliter/peck/cup or dipper shaped object/old variant of 陡[dǒu]","斗",,,,"teu\"
7545,"abbr. for the Philippines 菲律賓|菲律宾[Fēi lu:4 bīn] or poor/humble/unworthy/radish (old) or luxuriant (plant growth)/rich with fragrance/phenanthrene C14H10","菲","菲",,,"fi¯"
4796,"abbr. for Xinjiang 新疆[Xīn jiāng] or Singapore 新加坡[Xīn jiā pō]/surname Xin or new/newly/meso- (chemistry)","新","新",,,"sin¯"
5508,"abbr. for Zhejiang 浙江 province in east China","浙","浙",,,"chė˘"
4923,"abbr. for 書經|书经[Shū jīng] or 冊|册[ce4]","書","书",,,"xu̇¯"
4942,"abbr. for 朝鮮|朝鲜[Cháo xiǎn] Korea or morning or imperial or royal court/government/dynasty/reign of a sovereign or emperor/court or assembly held by a sovereign or emperor/to make a pilgrimage to/facing/towards","朝","朝",,,"chao^'"
4943,"abbr. for 朝鮮|朝鲜[Cháo xiǎn] Korea or morning or imperial or royal court/government/dynasty/reign of a sovereign or emperor/court or assembly held by a sovereign or emperor/to make a pilgrimage to/facing/towards","朝","朝",,,"chao¯"
5585,"abbr. for 香港[Xiang1 gang3]/surname Gang or harbor/port/CL:個|个[gè]","港","港",,,"kiang\"
7309,"abdomen/stomach/belly","腹","腹",,,"fȯ˘"
3597,"a beauty or beautiful (woman)","媛","媛",,,"iuen^"
4422,"ability/talent/sb of a certain type/a capable individual/only/only then/just now","才","才",,,"çai^'"
6766,"a book/a register/account-book","簿","簿",,,"pu/"
6767,"a book/a register/account-book","簿","簿",,,"po˘"
2487,"about 6 ares","克","克",,,"ke˘'"
9378,"a breed of horse/variant of 歡|欢[huān]","驩","欢",,,"huon¯"
6200,"a bruise or contusion","痏","痏",,,"goei\"
5952,"abrupt/sudden/unexpected","猝","猝",,,"ço˘'"
3503,"absurd/fantastic/presumptuous/rash","妄","妄",,,"¨vang/"
4516,"a bunch/to tie together/bundle","捆","㨡",,,"quen\'"
7877,"abundant","裕","裕",,,"iụ/"
6299,"abundant/bowl/dish/pot","盎","盎",,,"ngang/"
5595,"abundant/bright/strain spirits","湑","湑",,,"siụ¯"
3479,"abundant/graceful","奕","奕",,,"iė˘"
8642,"abundant/mixed","遝","遝",,,"ta˘'"
8945,"abundant/mound","阜","阜",,,"feu\"
6602,"abundant/stalk of grain or surname Rang","穰","穰",,,"jang^"
8088,"abuse","誶","谇",,,"sui/"
2363,"accidental/image/pair/mate","偶","偶",,,"ngheu\"
4047,"accomplished/elegant","彥","彦",,,"nien/"
4048,"accomplished/elegant","彥","彦",,,"ien^"
4049,"accomplished/elegant","彧","彧",,,"iȯ˘"
4050,"accomplished/elegant","彧","彧",,,"iu̇˘"
5818,"according to/in accordance with/to shine/to illuminate/to reflect/to look at (one's reflection)/to take (a photo)/photo/as requested/as before","照","照",,,"chao/"
4677,"according to/to act in accordance with/to depend on/to seize/to occupy","據","据",,,"kiụ/"
5500,"accord/to make contact/to agree/to consult with/extensive","洽","洽",,,"hia˘"
5927,"accusation/suit/state/condition/strong/great/-shaped","狀","状",,,"choang/"
5930,"accustomed to","狃","狃",,,"nieu\"
5931,"accustomed to","狃","狃",,,"nieu/"
4124,"accustomed to/blush/be shy","忸","忸",,,"nieu\"
4125,"accustomed to/blush/be shy","忸","忸",,,"nȯ˘"
4297,"accustomed to/used to/indulge/to spoil (a child)","慣","惯",,,"quon/"
7777,"a centipede","蝍","蝍",,,"çiė˘"
6209,"ache/pain/sorrow/deeply/thoroughly","痛","痛",,,"tung/'"
2447,"a class/a company/companion","儕","侪",,,"chai^'"
5103,"a club (weapon)","梃","挺",,,"ting\'"
5120,"a comb/to comb","梳","梳",,,"xu¯"
5121,"a comb/to comb","梳","梳",,,"su¯"
5122,"a comb/to comb","梳","梳",,,"xȯ˘"
7290,"acrylic","腈","腈",,,"çing¯"
3143,"a cry of alarm/querulous","嘵","哓",,,"hiao¯"
21,"action or speech utterance)/classifier for iterations: times or surname Pan","番","蹯",,,"po^'"
6154,"action or speech utterance)/classifier for iterations: times or surname Pan","番","蹯",,,"pien¯"
6155,"action or speech utterance)/classifier for iterations: times or surname Pan","番","蹯",,,"fan^"
6156,"action or speech utterance)/classifier for iterations: times or surname Pan","番","蹯",,,"puon¯'"
3559,"active/comply with","娓","娓",,,"vy¨\"
8807,"acute","銳","锐",,,"jui/"
8768,"acyl","醯","醯",,,"hi¯"
3113,"addicted to/fond of/stem corresponding to -phil or -phile","嗜","嗜",,,"xi/"
3260,"a depression/cavity/hollow","坳","坳",,,"iao¯"
6982,"adorned/beautiful","縟","缛",,,"jȯ˘"
6880,"adorned/swift/gorgeous/brilliant/variegated","絢","绚",,,"hiuen^"
7881,"adornment/to adorn/dress/clothing/costume (of an actor in a play)/to play a role/to pretend/to install/to fix/to wrap (sth in a bag)/to load/to pack","装","装",,,"choang¯"
9634,"a drum-shaped rattle (used by peddlers or as a toy)/rattle-drum","鼗","鞀",,,"tao^'"
4069,"(adverb of degree)/quite/very/awfully","很","很",,,"hen\"
9542,"a Eurasian duck)/seagull (arch.)","鷖","鹥",,,"y¯"
6781,"a fence","籬","篱",,,"li^"
18,"affair/business/matter/to be engaged in/to attend to/by all means","務","务",,,"vu\"
2674,"affair/business/matter/to be engaged in/to attend to/by all means","務","务",,,"vu/"
6163,"a field of 20 or 30 mu","畹","畹",,,"iuen\"
4387,"afraid/be feared/to fear/to frighten/to intimidate","懾","慑",,,"chė˘"
4168,"afraid/frightened/to fear","恐","恐",,,"kung/'"
4169,"afraid/frightened/to fear","恐","恐",,,"kung\'"
4282,"afraid/trembling","[.]_223_4_prin","慄","https://dict.variants.moe.edu.tw/dictView.jsp?ID=15555","https://dict.variants.moe.edu.tw/dictView.jsp?ID=15555","liė˘"
6761,"a free reed mouth organ with five or more pipes blown from the bottom/same as 排簫|排箫/also translated as pan pipes","[.]_482_4_prin",,"https://dict.variants.moe.edu.tw/dictView.jsp?ID=32663",,"siao¯"
9096,"Africa or to not be/not/wrong/incorrect/non-/un-/in-/to reproach or blame/(colloquial) to insist on/simply must","非","非",,,"fi¯"
6605,"after all/to investigate/to study carefully/Taiwan pr. [jiù]","宄",,,,"quei\"
6606,"after all/to investigate/to study carefully/Taiwan pr. [jiù]","究","宄",,,"kieu/"
5324,"a funeral/to encoffin a corpse/to carry to burial","殯","殡",,,"pin/"
6041,"agate","瑙","瑙",,,"nao\"
6052,"agate/cornelian","瑪","玛",,,"ma\"
6415,"agate/inferior gem/a kind of jade","砆","砆",,,"fu"
7156,"aged/in one's eighties","耋","耋",,,"tiė˘'"
7157,"aged/in one's eighties","耋","耋",,,"tiė˘"
4119,"aggressive","忮","忮",,,"ky/"
4120,"aggressive","忮","忮",,,"chi¯"
4273,"agitated","[.]_222_3_prin","愮","https://dict.variants.moe.edu.tw/dictView.jsp?ID=58391","https://dict.variants.moe.edu.tw/dictView.jsp?ID=58391","iao^"
4283,"agitated","慅","慅",,,"sao¯"
5833,"a glimmer/glimmering/twinkling/fluorescence/phosphorescence/perplexed/dazzled and confused/planet Mars (arch.)","熒","荧",,,"iung^"
9134,"a grass that gives red dye","韎","韎",,,"moei/"
3321,"a grave","塋","茔",,,"ing^"
3363,"a grave","墦","墦",,,"fan^"
3364,"a grave","墦","墦",,,"puon^'"
4542,"a heavy object)/to wave (a sword or to select","掄","抡",,,"lụn^"
7429,"a herb/banana","芭","芭",,,"pa¯"
6463,"a high mountain/precipitous","磪","磪",,,"çui\'"
6464,"a high mountain/precipitous","磪","磪",,,"çui¯'"
8815,"a hoe/to hoe or dig/to weed/to get rid of","鋤","锄",,,"çuˆ'"
7410,"AIDS or surname Ai or to mow/to cut/to reap/to redress","艾","刈",,,"y/"
7411,"AIDS or surname Ai or to mow/to cut/to reap/to redress","艾","刈",,,"ngai/"
3249,"airplane etc)/to bear fruit/variant of 座[zuo4] or surname Zuo","坐","坐",,,"ço/"
5983,"a kind of dog with a long snout/see 獫狁|猃狁[Xiǎn yǔn]","獫","猃",,,"hien\"
6002,"a kind of jade","玞","砆",,,"fu^"
6098,"a kind of vase (old)/see 安瓿[ān bù]","瓿","瓿",,,"peu\'"
7731,"a kinship group whose members held dukedoms within the Zhou Dynasty realm","虢","虢",,,"quoe˘"
8753,"alcohol/wine with high alcohol content/rich/pure/good wine/sterols","醇","醇",,,"xụn^"
9110,"a leaning board on carriage","鞃","鞃",,,"hung^"
3619,"a legendary beauty who flew to the moon/the lady in the moon","嫦","嫦",,,"chang^'"
7758,"a legendary dragon with the ability to control rain and floods/see also 蛟龍|蛟龙[jiāo lóng]","蛟","蛟",,,"kiao¯"
5947,"a legendary wolf/distressed/wretched","狽","狈",,,"poei/"
7691,"Alisma plantago","藚","藚",,,"sȯ˘"
9562,"alkaline soil/salt/brine/halogen (chemistry)/crass/stupid","鹵","卤",,,"lu\"
3642,"all alone","孑","孑",,,"kie˘"
6279,"all/each and every/in all cases","皆","皆",,,"kiai¯"
2956,"all/everyone/each/widespread/harmonious or surname Xian","咸","鹹",,,"hien^"
7668,"Allium bakeri/shallot/scallion","薤","薤",,,"hiai/"
9074,"all of a sudden/drizzle","霎","霎",,,"xa˘"
8131,"all/various or surname Zhu","諸","诸",,,"chụ¯"
3941,"almost or how much/how many/several/a few","幾","几",,,"ky¯"
3942,"almost or how much/how many/several/a few","幾","几",,,"ky\"
5982,"alone/independent/single/sole/only","獨","独",,,"tȯ˘"
3632,"alone/solitary or (used in names) or see 便嬛[pián xuān]","嬛","嬛",,,"kiung^'"
3633,"alone/solitary or (used in names) or see 便嬛[pián xuān]","嬛","嬛",,,"hiuen¯"
4341,"already/sorrowful","憯","慘",,,"çan\'"
3865,"already/to stop/then/afterwards","已","已",,,"y\"
2088,"also","亦","亦",,,"iė˘"
3176,"also called 高辛氏","嚳","喾",,,"kȯ˘'"
2059,"also/too/(in Classical Chinese) final particle implying affirmation or surname Ye","也","匜",,,"ie\"
8569,"alternately/repeatedly","迭","迭",,,"tie˘"
7512,"alternative name for taro (old) or Zhou Dynasty vassal state in modern day Shandong Province","莒","莒",,,"kiụ̣\"
9043,"although/even though","雖","虽",,,"sui¯"
7467,"although 夹 is more common or eggplant","茄","茄",,,"kie^"
6476,"alum","礬","矾",,,"fan^"
3903,"always/ever/often/frequently/common/general/constant or surname Chang","常","常",,,"chang^'"
7002,"always/to assemble/gather/total/overall/head/chief/general/in every case","總","总",,,"çung\"
7003,"always/to assemble/gather/total/overall/head/chief/general/in every case","總","总",,,"çung\"
7004,"always/to assemble/gather/total/overall/head/chief/general/in every case","總","总",,,"çung¯'"
7519,"amaranth (genus Amaranthus)/Joseph's coat (Amaranthus tricolor)/Chinese spinach (Amaranth mangostanus)","莧","苋",,,"hien/"
6009,"amber","珀","珀",,,"pė˘"
6028,"amber","琥","琥",,,"hu\"
6367,"amicable/harmonious","睦","睦",,,"mȯ˘"
7046,"a moment ago/just now/(indicating sth happening later than expected)/(preceded by a clause of condition or reason) not until/(followed by a numerical clause) only","纔","才",,,"çai^'"
7375,"a moment/little while or surname Yu","臾","臾",,,"iụ^"
3628,"amusement","嬉","嬉",,,"hi¯"
3629,"amusement","嬉","嬉",,,"hi/"
5971,"a mythical animal that eats its mother","獍","獍",,,"king/"
7505,"Anaphalis yedoensis (pearly everlasting reed)/used in Japanese names with phonetic value Ogi","荻","荻",,,"tiė˘"
6671,"an article made of bamboo strips/fence","笆","笆",,,"pa¯"
3469,"ancestor","奉","奉",,,"fung/"
3470,"ancestor","奉","奉",,,"fung\"
6494,"ancestral hall","祧","祧",,,"tiao¯'"
6420,"ancestral tablet","砫",,,,"chu̇\"
8827,"anchor","錨","锚",,,"maoˆ"
6749,"ancient bronze food vessel with a round mouth and two or four handles/round basket of bamboo","簋","簋",,,"quei\"
8703,"ancient capital of Chu 楚 in Hubei","郢","郢",,,"in\"
9628,"ancient cooking cauldron with two looped handles and three or four legs/pot (dialect)/to enter upon a period of (classical)/Kangxi radical 206/one of the 64 hexagrams of the Book of Changes","鼎","鼎",,,"ting\"
8804,"ancient firearm/gun","銃","铳",,,"chung/'"
7399,"ancient leatherclad warship","艨","艨",,,"mung^"
8780,"ancient measure of length or Li (surname)","里","裡",,,"li\"
7983,"ancient measuring vessel (same as 斛)/frightened","觳","觳",,,"hȯ˘"
8854,"ancient musical intrument shaped as a bell/hoe/spade","鎛","鑮",,,"po˘"
4005,"ancient name for go (Chinese board game)","弈","弈",,,"iė˘"
6465,"ancient percussion instrument made of stone or jade pieces hung in a row and struck as a xylophone","磬","磬",,,"king/'"
8709,"ancient place name","郿","郿",,,"moei^"
3385,"ancient porcelain wind-instrument","壎","壎",,,"hiuen¯"
6151,"ancient sacrifice","畤",,"https://dict.variants.moe.edu.tw/dictView.jsp?ID=28583",,"chi\"
6421,"ancient stone acupuncture needle/to criticize/to pierce","砭","砭",,,"pien/"
6422,"ancient stone acupuncture needle/to criticize/to pierce","砭","砭",,,"pien¯"
6063,"ancient stone ornament","璋","璋",,,"chang¯"
8813,"(ancient unit of weight)","鋝","锊",,,"lie˘"
8814,"(ancient unit of weight)","鋝","锊",,,"xoa˘"
8863,"ancient unit of weight equal to 20 or 24 liang 兩|两[liǎng]","𨩣","镒",,,"iė˘"
8839,"ancient unit of weight/money","鍰","锾",,,"hoanˆ"
8879,"(ancient weight)/metal ring","鐶","镮",,,"hoanˆ"
8822,"ancient weight/one-eighth of a tael","錙","锱",,,"çu̇¯"
4044,"ancient wine vessel/ancient sacrificial vessel/Yi ethnic group/normal nature of man/laws and rules","彞","彝",,,"y^"
7158,"and/as well as/and so/but (not)/yet (not)/(indicates causal relation)/(indicates change of state)/(indicates contrast)","而","而",,,"lh^"
2298,"and nouns referring to individuals","㥃",,,,"muen/"
2299,"and nouns referring to individuals","㥃",,,,"muen\"
2300,"and nouns referring to individuals","們","们",,,"muen/"
2301,"and nouns referring to individuals","們","们",,,"men^"
2807,"and/to reach/up to/in time for","及","及",,,"kiė˘"
7434,"angelica (type of iris)/plant root used in TCM","芷","芷",,,"chi\"
3491,"anger","奰","奰",,,"pi/"
4278,"anger","愾","忾",,,"kai/'"
4279,"anger","愾","忾",,,"hi/"
4135,"anger/fury/flourishing/vigorous","怒","怒",,,"nu/"
4130,"anger/indignation/hatred","忿","忿",,,"fuen\"
4131,"anger/indignation/hatred","忿","忿",,,"fuen/"
7967,"angle/corner/horn/horn-shaped/unit of money equal to 0.1 yuan/CL:個|个[gè] or surname Jue or role (theater)/to compete/ancient three legged wine vessel/third note of pentatonic scale","角","角",,,"kio˘"
4219,"angry","悻","悻",,,"hing\"
7405,"angry","艴","艴",,,"pȯ˘'"
7406,"angry","艴","艴",,,"poei/"
4191,"angry/sad or impatient","悁","悁",,,"kiuen/'"
4192,"angry/sad or impatient","悁","悁",,,"iuen¯"
7738,"Anhui or mussel/clam","蚌","蚌",,,"pang/"
9102,"animal hide/leather/to reform/to remove/to expel (from office)","革","革",,,"ke˘"
9103,"animal hide/leather/to reform/to remove/to expel (from office)","革","革",,,"kiė˘"
5903,"animal or plant) female/keyhole/valley","牝","牝",,,"pin\"
5905,"animal or plant) male/key/hills","牡","壯",,,"meu\"
9491,"animals and insects)","鳴","鸣",,,"ming/"
9492,"animals and insects)","鳴","鸣",,,"ming^"
9493,"animals and insects)","鳴","鸣",,,"ming/"
9494,"animals and insects)","鳴","鸣",,,"ming^"
5837,"an iron/to iron or reconciled/smooth","熨","熨",,,"goei¯"
9133,"annealed/pliable but strong/tough/tenacious","韌","韧",,,"jin/"
9365,"a noble steed/untamed","驁","骜",,,"ngao/"
9366,"a noble steed/untamed","驁","骜",,,"ngao^"
7813,"ant","蟻","螘",,,"i\"
4488,"antagonistic/laboring hard/pressed","拮","揭",,,"kiė˘"
4489,"antagonistic/laboring hard/pressed","拮","揭",,,"kie˘"
3277,"anthill/mound","垤","垤",,,"tie˘"
7223,"anus","肛","肛",,,"kang¯"
2775,"anxiety/sympathy/to sympathize/to give relief/to compensate","卹","恤",,,"sȯ˘"
2776,"anxiety/sympathy/to sympathize/to give relief/to compensate","卹","恤",,,"siu̇˘"
4182,"anxiety/sympathy/to sympathize/to give relief/to compensate","恤","恤",,,"siu̇˘"
7760,"anxious/grasshopper/a cricket","𧉨","蛩",,,"kiung^'"
7761,"anxious/grasshopper/a cricket","蛩","蛩",,,"kiungˆ'"
4157,"anxious or anger","怫","悖",,,"fa˘"
4349,"anxious/sad","懆","慘",,,"çao\"
4350,"anxious/sad","懆","慘",,,"çao/"
4249,"anxious/worried","惴","惴",,,"chui/"
7176,"a pair/a mate/a couple/to couple/plowshare","耦","耦",,,"ngheu\"
7537,"a parasitic vine with seeds having medicinal uses)/also called 菟絲子|菟丝子","菟","兔",,,"tu/"
5956,"ape","猩","猩",,,"sing¯"
5967,"ape","猿","蝯",,,"iuen^"
8956,"a pen/to surround","阹","阹",,,"kiụ¯'"
8242,"appearance","貌","貌",,,"mao/"
5119,"appliance/tool/weapon/shackles/also pr. [jiè]","械","械",,,"hiai/"
9335,"approach at swift gallop (on horses)","駾","駾",,,"tui/"
6296,"approx 128 liters/CL:個|个[ge4]","盆","盆",,,"puen^'"
4966,"apricot/almond","杏","杏",,,"heng\"
4967,"apricot/almond","杏","杏",,,"hing/"
4938,"a prison sentence etc)/to obey/to be convinced (by an argument)/to convince/to admire/to acclimatize/to take (medicine)/mourning clothes/to wear mourning clothes or dose (measure word for medicine)/Taiwan pr. [fú]","服","服",,,"fȯ˘"
5227,"a prop/a shore","橕","樘",,,"çeng¯'"
9386,"a putrid carcass","骴","骴",,,"çụ^'"
9387,"a putrid carcass","骴","骴",,,"çụ/"
7702,"aquatic grasses/elegant","藻","藻",,,"çao\"
7906,"a queen's ceremonial gowns","褘","幃",,,"hoei¯"
6167,"arable fields/cultivated field/class/category","疇","畴",,,"cheu^'"
5202,"a raft made of bamboo or wood/to fell trees/to hew","槎","楂",,,"cha^'"
5803,"a raging fire or raging fire","煆","煆",,,"tuon/"
7610,"Aralia papyrifera","蓪","蓪",,,"tung'¯"
4022,"arc","弧","弧",,,"hu^"
9568,"(archaic) a type of deer or to weed","麃","麃",,,"piao¯"
9045,"(archaic) stork/heron","雚","芄",,,"quon/"
2740,"(archaic) to fly rapidly","卂","卂",,,"sin/"
5347,"(archaic) to give birth to a child/to rear","毓","育",,,"io˘"
8029,"(archaic) to present/to bequeath/variant of 貽|贻[yí]","詒","诒",,,"¨y^"
8030,"(archaic) to present/to bequeath/variant of 貽|贻[yí]","詒","诒",,,"tai^'"
8031,"(archaic) to present/to bequeath/variant of 貽|贻[yí]","詒","诒",,,"tai/'"
2161,"archaic variant of 你[nǐ]/you","伱","你",,,"ni\"
4008,"archaic variant of 壹 banker's anti-fraud numeral one","弌","一",,,"iė˘"
2062,"archaic variant of 治[zhì] or archaic variant of 亂|乱[luàn]","乿","乿",,,"chi/"
6585,"archaic variant of 蘇|苏[sū]/to revive","穌","稣",,,"su¯"
7161,"archaic variant of 軟|软[ruǎn]","耎","耎",,,"juen\"
7162,"archaic variant of 軟|软[ruǎn]","耎","耎",,,"no/"
9137,"archer's thumb ring","韘","韘",,,"xe˘"
7204,"(arch. introductory particle)/then/and then","聿","聿",,,"iu̇˘"
7205,"(arch. introductory particle)/then/and then","聿","聿",,,"piė˘"
6507,"(arch.) religious ritual on setting out for war","禡","祃",,,"ma/"
5780,"ardent/intense/fierce/stern/upright/to give one's life for a noble cause/exploits/achievements","烈","烈",,,"lie˘"
5893,"a register/block of printing/edition/version/page","版","板",,,"pan\"
6411,"argumentative/contentious or surname Jiao or to correct/to rectify/to redress/strong/brave/to pretend/to feign/affectation","矯","矫",,,"kiao\"
7339,"arm","臂","臂",,,"pi/"
8790,"armlet/bracelet or surname Chuan","釧","钏",,,"chuen/"
8857,"armor","[.]_708_9_prin","鎧","vedi link immagine commento",,"kai\'"
7292,"armpit/(biology) axilla/(botany) axil/Taiwan pr. [yì]","腋","腋",,,"iė˘"
8468,"army/military/arms/CL:個|个[gè]","軍","军",,,"kiụn¯"
7999,"arrogant/mean","訑","詑",,,"i^"
3919,"arrogant/rude/to cover","幠","𢃀",,,"hu¯"
6726,"arrow/CL:支[zhī]","箭","箭",,,"çien/"
7530,"arrow/weeds","菆","叢",,,"çuon¯"
7459,"(artemisia)/duckweed","苹","萍",,,"ping^'"
7460,"(artemisia)/duckweed","苹","萍",,,"pang^'"
7715,"Artemisia stellariana","蘩","蘩",,,"fan^"
7627,"Arthemisia vulgaris/piper betel","蔞","蒌",,,"liụ^"
7531,"Arthraxon ciliare/green/rhodacene","菉","菉",,,"lȯ˘"
7683,"Arthraxon ciliare/loyal","藎","荩",,,"çin/"
6732,"article","篇","篇",,,"pien¯'"
2971,"article/commodity/product/goods/kind/grade/rank/character/disposition/nature/temperament/variety/to taste sth/to sample/to criticize/to comment/to judge/to size up/fret (on a guitar or lute)","品","品",,,"pin\'"
2150,"artistry/talent/skill/(in ancient times) female entertainer","伎","伎",,,"ky¨/'"
2151,"artistry/talent/skill/(in ancient times) female entertainer","伎","伎",,,"ky^'"
7594,"a rush/scirpus cyperinus","蒯","𦳋",,,"quai/'"
6126,""" as a party to a contract etc)/letter """"A"""" or roman """"I"""" in list """"A""","甲","甲",,,"kia˘"
3501,"as/as if/such as","如","如",,,"ju̇/"
3502,"as/as if/such as","如","如",,,"ju̇^"
8817,"a saw/to cut with a saw or variant of 鋦|锔[jū]","鋸","锯",,,"kiụ/"
2425,"ashamed","僯","僯",,,"lin/"
2426,"ashamed","僯","僯",,,"lin\"
4132,"ashamed","怍","怍",,,"ço˘'"
4268,"ashamed","愧","愧",,,"quei/"
9692,"ashamed","㥏","㥏",,,"tien\'"
5759,"ash/dust/lime/gray/discouraged/dejected","灰","灰",,,"hoei¯"
5862,"ashes/embers","燼","烬",,,"çin/"
7526,"a shrub with poisonous leaves/impertinent","莽","莽",,,"mang\"
7527,"a shrub with poisonous leaves/impertinent","莽","莽",,,"mang^"
5962,"as if/(just) like/just as/still/yet","猶","犹",,,"ieu^"
6080,"as in porcelain","璺","璺",,,"¨ven/"
8082,"as in 日心說|日心说 heliocentric theory) or to persuade","説","說",,,"xue˘"
8083,"as in 日心說|日心说 heliocentric theory) or to persuade","説","說",,,"xui/"
8084,"as in 日心說|日心说 heliocentric theory) or to persuade","説","說",,,"to˘'"
8085,"as in 日心說|日心说 heliocentric theory) or to persuade","説","說",,,"iue˘"
5581,"as liquids/a drop","渧","啼",,,"ti/"
5582,"as liquids/a drop","滴",,,,"tiė˘"
6302,"a small cup/classifier for lamps","盞","盏",,,"çan\"
6303,"a small cup/classifier for lamps","盞","盏",,,"çien\"
6773,"a sound/a noise/musical pipe with 3 reeds","籟","籁","https://dict.variants.moe.edu.tw/dictView.jsp?ID=32785",,"lai/"
7656,"a species of fern/Taiwan pr. [wei2]","薇","薇",,,"¨vy^"
2204,"assistant","佴","佴",,,"lh'"
2205,"assistant","佴","佴",,,"xi/"
2206,"assistant","佴","佴",,,"chi/"
7126,"assist/ready to fly/respect","翊","翊",,,"iė˘"
4973,"a staff/a rod/cane/walking stick/to flog with a stick (old)","杖","杖",,,"chang/"
4974,"a staff/a rod/cane/walking stick/to flog with a stick (old)","杖","杖",,,"chang\"
9357,"a stallion/to rise/to arrange/to stabilize/to differentiate/to judge","騭","骘",,,"chė˘"
2251,"a stand for food at sacrifice","俎","俎",,,"çu\"
6208,"asthma/difficulty in breathing","痚","痚",,,"hiao¯"
8007,"astounded","訝","讶",,,"ia/"
4012,"a string of 100 cash (arch.)/to lament/to condole with/variant of 吊[diào]","弔","吊",,,"tiao/"
4013,"a string of 100 cash (arch.)/to lament/to condole with/variant of 吊[diào]","弔","吊",,,"tiė˘"
6371,"astute/perspicacious/farsighted","睿","睿",,,"jui/"
6304,"a subdivision corresponding to prefecture in Inner Mongolia","盟","盟",,,"ming^"
9485,"a swallow (bird)","鳦","鳦",,,"ien\"
9486,"a swallow (bird)","鳦","鳦",,,"ie˘"
8553,"as yet/until","迄","迄",,,"hiė˘"
3952,"asylum for the aged/school","庠","庠",,,"siang^"
8369,"at a distance of/distance/to be apart","距","距",,,"kiụ\'"
5060,"a tapering wooden box struck on the inside with a wooden stick","祝",,,,"cheu/"
5061,"a tapering wooden box struck on the inside with a wooden stick","柷","柷",,,"chȯ˘'"
5062,"a tapering wooden box struck on the inside with a wooden stick","祝",,,,"chȯ˘"
2584,"at first/(at the) beginning/first/junior/basic","初","初",,,"çu¯'"
2585,"at first/(at the) beginning/first/junior/basic","初","初",,,"ço¯'"
7210,"at first/devise/originate","肇","肇",,,"chao/"
